id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22119016,Mexico City,research,CC-BY-NC,https://www.inaturalist.org/observations/22119016,,25.5485786125,-100.2708793054,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
22128435,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/22128435,,25.6089633421,-100.296805,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
22374170,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/22374170,,25.5512783333,-100.225875,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
22713377,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/22713377,,25.53820125,-100.2753151667,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
22828330,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22828330,,25.5379981995,-100.2754211426,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
22837545,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/22837545,,25.549862,-100.270419,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
23074980,American Samoa,research,CC-BY-NC,https://www.inaturalist.org/observations/23074980,,25.5436466571,-100.2708186954,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
23579856,Central Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/23579856,,25.5473949997,-100.2708633333,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
23829221,Monterrey,research,,https://www.inaturalist.org/observations/23829221,,25.5512586577,-100.2690427378,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
25351340,Central Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/25351340,,25.5440233169,-100.2711145163,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
25654488,UTC,research,,https://www.inaturalist.org/observations/25654488,,25.67853409,-100.28181911,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
26286382,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/26286382,,25.545200314,-100.2706718445,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
26479614,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/26479614,,25.6970214842,-100.3071517942,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
26491215,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/26491215,,25.5517533333,-100.2259916667,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
26830039,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/26830039,,25.5515466667,-100.225975,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
26922769,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/26922769,,25.5514133333,-100.22587,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
26933912,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/26933912,,25.55182,-100.22618,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
27134103,Guadalajara,research,CC-BY-NC,https://www.inaturalist.org/observations/27134103,,25.5272222196,-100.2816313505,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
27336445,Guadalajara,research,CC-BY-NC,https://www.inaturalist.org/observations/27336445,,25.7293879866,-100.4333403316,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
27758944,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/27758944,,25.5487649346,-100.270686932,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
